Site_Number,Location_Description,Site_Type
4854,HOTHAM NR GROSVENOR,POS
4847,HOTHAM/ALMA,INT
4853,HOTHAM/CARLISLE/BALACLAVA,INT
4855,HOTHAM/GLEN EIRA,INT
4850,HOTHAM/INKERMAN,INT
6156,HOVELL NR JACKHORE  [WODONGA],POS
5901,HOWITT NR FOREST & SCHOOL LANE,POS
5901,HOWITT NR FOREST & SCHOOL LANE,POS
5902,HOWITT/FOREST,INT
5902,HOWITT/FOREST,INT
5903,HOWITT/LEARMONTH/GILLIES,INT
5903,HOWITT/LEARMONTH/GILLIES,INT
4970,HUDSONS NR FORREST,FLASH PX
622,HULL NR MARION,POS
632,HULL NR RUSKIN,POS
818,HULL RD NR REAY,POS
118,HULL/MOOROOLBARK,INT
2589,HUME DRIVE/COPPERFIELD,INT
2179,HUME FWY/KINGSWOOD DR,INT
6152,HUME FWY/LINCOLN CAUSEWAY(SIGS)[WODONGA],INT
6155,HUME HWY (HIGH ST) NR STANLEY [WODONGA],POS
2154,HUME HWY NR LORNE,POS
2154,HUME HWY NR LORNE,POS
2152,HUME HWY NR MATHIESON,POS
2184,HUME HWY/AMAROO/GRAND,INT
2184,HUME HWY/AMAROO/GRAND,INT
2160,HUME HWY/ANDERSON,INT
2181,HUME HWY/AUSTRAK,INT
2147,HUME HWY/AXIOM BUSINESS PARK DR,INT
2150,HUME HWY/BAKERS,INT
2159,HUME HWY/BARRY,INT
2153,HUME HWY/BOUNDARY/QUEENS,INT
2155,HUME HWY/BOX FOREST,INT
2149,HUME HWY/CAMPBELLFIELD SHOPPING CENTRE,INT
2185,HUME HWY/CRAIGIEBURN,INT
6149,HUME HWY/ELGIN/HIGH      [WODONGA],INT
2145,HUME HWY/GRASSLANDS,INT
6121,HUME HWY/GRETA,INT
6121,HUME HWY/GRETA,INT
2162,HUME HWY/JUKES,INT
2163,HUME HWY/LYNCH,INT
2163,HUME HWY/LYNCH,INT
2157,HUME HWY/MAHONEYS/CAMP,INT
2146,HUME HWY/MAJOR,INT
2178,HUME HWY/NORTHBOURNE,INT
6151,HUME HWY/OSBURN                [WODONGA],INT
6154,HUME HWY/QUARRY ENTRANCE     [WODONGA],INT
2151,HUME HWY/SHORTS/KEADY,INT
6120,HUME HWY/SISELY                  WANG.,INT
6120,HUME HWY/SISELY                  WANG.,INT
2158,HUME HWY/SOMERSET,INT
2161,HUME HWY/SOMERTON/COOPER,INT
6150,HUME HWY/SOUTH                 [WODONGA],INT
2183,HUME HWY/STANLEY/STH PACIFIC TYRES,INT
6122,HUME HWY/WARBY,INT
6122,HUME HWY/WARBY,INT
2167,HUME/BOLINDA,INT
2187,HUME/MITRE 10 ENTRY,INT
2173,HUME/WESTERN RING ROAD,INT
2173,HUME/WESTERN RING ROAD,INT
3281,HUNTINGDALE NR ESTELLE,POS
4712,HUNTINGDALE NR HILLCREST,POS
2955,HUNTINGDALE NR HUME,POS
471,HUNTINGDALE NR MCLOCHLAN,POS
474,HUNTINGDALE NR RAILWAY,POS
470,HUNTINGDALE NR ROCKLANDS,POS
4718,HUNTINGDALE NR STAFFORD,POS
348,Huntingdale Rd/Proposed Access Rd,INT
2958,HUNTINGDALE/BURLINGTON,INT
3935,HUNTINGDALE/HIGHBURY/GILLARD,INT
4710,HUNTINGDALE/WAVERLEY,INT
4189,HURSTBRIDGE-MAIN/SHOPPING CENTRE ACCESS,INT
812,HUTCHINSON/JOHN,INT
395,HUTTON RD/ CHAPEL RD,INT
495,HUTTON RD/ GREEN RD/ PERRY RD,INT
3433,HYDE NR SCHILD,FLASH PX
3431,HYDE/FRANCIS,INT
4232,HYDE/NAPIER,INT
6696,HYLAND NR DUNBAR,POS
4720,INGLES/CROCKFORD,INT
4876,INGLES/LIGHT RAIL XING,INT
4872,INKERMAN/ALEXANDER,INT
4071,INKERMAN/KOOYONG,INT
4103,INKERMAN/ORRONG,INT
4849,INKERMAN/WESTBURY,INT
6264,IRONBARK/BARNARD/WATTLE,INT
4245,IRVING/LEEDS,INT
2298,JACKA BLVD NR  LWR ESPLANADE,POS
2299,JACKA BLVD NTH LWR ESPLANADE,POS
666,JACKSONS NR AHERN,POS
658,JACKSONS NR JUSTIN,POS
1207,JACKSONS RD/ST MARYS SEMINARY/ACCESS,INT
679,JAMES NR ANDERSON,POS
3442,JASPER NR BREWER,POS
3440,JASPER/MCKINNON,INT
3439,JASPER/PATTERSON,INT
498,JELLS/GRANDVIEW,INT
499,JELLS/WHEELERS HILL SHOPPING CENTRE,INT
5660,JOHNSON NR PEARSON,FLASH PX
3452,JOHNSTON NR GEORGE,INT
3456,JOHNSTON NR LULIE,POS
2453,JOHNSTON ST O/H LANE E BUDD    GANTRY 03,O/H LANE
2466,JOHNSTON ST O/H LANE E CLARKE  GANTRY 16,O/H LANE
2455,JOHNSTON ST O/H LANE E GOLD    GANTRY 05,O/H LANE
2458,JOHNSTON ST O/H LANE E HODDLE  GANTRY 08,O/H LANE
2462,JOHNSTON ST O/H LANE E HUNTER  GANTRY 12,O/H LANE
2460,JOHNSTON ST O/H LANE E PARK    GANTRY 10,O/H LANE
2461,JOHNSTON ST O/H LANE E RICH    GANTRY 11,O/H LANE
2464,JOHNSTON ST O/H LANE E TRENERRY       14,O/H LANE
2454,JOHNSTON ST O/H LANE E WELLINGTON     04,O/H LANE
2451,JOHNSTON ST O/H LANE W BEDFORD GANTRY 01,O/H LANE
2452,JOHNSTON ST O/H LANE W BUDD    GANTRY 02,O/H LANE
2465,JOHNSTON ST O/H LANE W CLARKE  GANTRY 15,O/H LANE
2456,JOHNSTON ST O/H LANE W HARMSWORTH     06,O/H LANE
2459,JOHNSTON ST O/H LANE W PARK    GANTRY 09,O/H LANE
2457,JOHNSTON ST O/H LANE W SYDNEY  GANTRY 07,O/H LANE
2463,JOHNSTON ST O/H LANE W TRENERRY       13,O/H LANE
3458,JOHNSTON ST O'HEAD SIGNALS - MASTER,O/H LANE
4149,JOHNSTON/GOLD/DIGHT,INT
3457,JOHNSTON/NICHOLSON           COLLINGWOOD,INT
3449,JOHNSTON/PATTERSON,INT
3453,JOHNSTON/SMITH,INT
3454,JOHNSTON/WELLINGTON,INT
3987,JOHNSTONE NR SORRENTO,POS
1229,JOHNSTONE ST BTW PEARCEDALE PDE/LORRAINE,POS
3998,JOHNSTONE/PEARCEDALE,INT
523,JOSEPHINE nr MONASH FWY,POS
1251,KANGAN DR (NEAR MCDONALDS ACCESS),POS
3364,KARINGAL/WEIDLICH,INT
2989,KAVANAGH BTW POWER & SOUTHBANK,FLASH PX
1366,KEILOR NEAR ELSTONE AVE,POS
2727,KEILOR NR BIRDWOOD,POS
2791,KEILOR NR COOPER,POS
4191,KEILOR NR GILLIES,POS
4310,KEILOR NR MATTHEWS,POS
4193,KEILOR NR MT ALEXANDER,POS
4309,KEILOR NR RYDER,FLASH PX
2738,KEILOR PARK DRIVE/THE LINK,INT
2733,KEILOR PARK DVE / CALDER FWY O/B ON/OFF,INT
2732,KEILOR PARK DVE/CALDER FWY I/B ON/OFF,INT
2731,KEILOR PARK DVE/FULLARTON RD,INT
2878,KEILOR PARK EXT/NB ON-OFF RAMPS,INT
2817,KEILOR PARK/GYMKHANA,INT
2879,KEILOR PARK/SLATER/SB ON-RAMP,INT
1000,KEILOR/HOFFMANS,INT
2720,KEILOR/MATTHEWS,INT
1081,KELLETS/NAPOLEON,INT
800,KELLETTS NR ST LAWRENCE WAY,INT
824,KELLETTS/TAYLORS,INT
3436,KENSINGTON ROAD nr DEVON STREET,POS
3404,KENSINGTON/HOBSONS/CHILDERS,INT
3742,KEON PARADE/DALTON,INT
3008,KILBY NR BELFORD,FLASH PX
2929,KING / FLINDERS ST,INT
4601,KING/BOURKE ST,INT
4584,KING/COLLINS,INT
4517,KING/DUDLEY,INT
4574,KING/FLINDERS LANE,INT
4524,KING/HAWKE,INT
2925,KING/LATROBE,INT
4609,KING/LITTLE BOURKE,INT
4592,KING/LITTLE COLLINS,INT
2917,KING/LITTLE LONSDALE,INT
2909,KING/LONSDALE,INT
4514,KING/ROSSLYN/CHETWYND,INT
1048,KING/VICTORIA,INT
4927,KINGS NR MCLEOD (STEVENSVILLE PRI SCH),POS
2762,KINGS RD/WELLESLEY DV/PALMERSTON CR,INT
2587,KINGS/DELAHEY VILLAGE NORTH ENTRANCE,INT
2728,KINGS/GILLESPIE,INT
2586,KINGS/GOLDSMITH,INT
2585,KINGS/HUME,INT
2583,KINGS/WATERGARDENS ENTRANCE 4,INT
2584,KINGS/WATERGARDENS ENTRANCE 5,INT
2592,KINGS/WATERGARDENS SHOP CENTRE ENT 3,INT
3879,KINGSBURY/RING RD,INT
4290,KINGSBURY/RUTHVEN/WAIORA/ORR,INT
4290,KINGSBURY/RUTHVEN/WAIORA/ORR,INT
4796,KINGSBURY/WATERDALE,INT
4632,KINGSTON NR BALL,POS
3644,KINGSTON/BALL/ACCESS RD,INT
4618,KINGSTON/OLD DANDENONG,INT
2774,KINGSWAY NR LYNDON,POS
404,KINGSWAY NR O'SULLIVAN,POS
2927,KINGSWAY NR YARRA RIVER,POS
407,KINGSWAY/RAILWAY PDE NTH,INT
2397,KINGSWAY/SOUTHERN LINK,INT
273,KLAUER/HARTNETT,INT
6095,KNIGHT NR HAROLD              SHEPPARTON,POS
1017,KOO WEE RUP/LIVESTOCK WAY/STH EAST BLVD,INT
1244,KOO WEE RUP-LONGWARRY/ROSSITER/STATION,INT
4102,KOORNANG NR JERSEY PDE,POS
2442,KOORNANG/ARAWATTA,INT
4084,KOORNANG/NEERIM,INT
2745,KOORNANG/ROSSTOWN,INT
4099,KOORNANG/TRUGANINI,INT
4104,KOOYONG NR ALLISON,POS
4095,KOOYONG NR CRIMEA,POS
2744,KOOYONG NR HARTINGTON,POS
3848,KOOYONG NR UNION,POS
4070,KOOYONG/ALMA,INT
4778,KOOYONG/WATTLETREE,INT
6823,KOROIT ST NR LIEBIG & KEPLER,POS
3480,KOROROIT CK/MAIDSTONE,INT
3507,KOROROIT CREEK NR ADELINE,POS
3899,KOROROIT CREEK/BURNS,INT
3904,KOROROIT CREEK/DOW CHEMICAL/PRIXCAR,INT
3482,KOROROIT CREEK/DRAKE,INT
1197,KOROROIT/FERGUSON,INT
5939,KYNETON MAIN ROAD JENNINGS AND LAURISTON,POS
4735,LAKESIDE DR/ LINK RD,INT
2988,LANSDOWNE/ST ANDREWS PL,POS
5064,LATROBE nr LITTLE MALOP,POS
5064,LATROBE nr LITTLE MALOP,POS
4515,LATROBE NR WURUNDJERI WAY,POS
5023,LATROBE/FYANS/WEST FYANS,INT
5023,LATROBE/FYANS/WEST FYANS,INT
5017,LATROBE/GORDON,INT
5021,LATROBE/KILGOUR/NOBLE,INT
5021,LATROBE/KILGOUR/NOBLE,INT
5020,LATROBE/MCKILLOP,INT
5020,LATROBE/MCKILLOP,INT
5019,LATROBE/MYERS/ROEBUCK,INT
5018,LATROBE/RYRIE/ABERDEEN,INT
6157,LAWRENCE/HUME,INT
1262,LEAKES RD/BANFIELD CT,INT
3719,LEAKES/ESTATE ROAD,INT
5293,LEAKES/FEDERATION TRAIL,POS
1218,LEAKES/MORRIS,INT
3867,LENNOX NR RICHMOND TCE,FLASH PX
3865,LENNOX NR YORK,POS
6811,LIEBIG NR LAVA,POS
934,LIGHTWOOD NR LAWN,POS
813,LILYDALE-MONTROSE NR MT DAND,POS
4195,LINCOLN NR FLORENCE,POS
3973,LINLITHGOW NR ST KILDA,POS
5295,LITTLE BOUNDARY/FEDERATION TRAIL,POS
5243,LITTLE BOUNDARY/PIPE,INT
4752,LITTLE CHAPEL NR KING,FLASH PX
4438,LITTLE CHAPEL NR PRINCES,FLASH PX
1225,LIVERPOOL/GLASGOW,INT
2943,LIVINGSTONE NR WATERDALE,FLASH PX
6232,LODDON VALLEY/CREETH,INT
6235,LODDON VALLEY/SANDHURST,INT
6236,LODDON VALLEY/VICTORIA ST,INT
2905,LONSDALE NR FRANCIS,POS
2935,Lonsdale St nr Swanston St,POS
2888,LORIMER/GRAHAM,INT
4732,LORIMER/SALMON,INT
7006,LOUGHNAN/CONSTRUCTION ACCESS,INT
911,LOUGHNANS / MONTALBO,INT
3885,LOUISA NR VICTORIA,FLASH PX
3148,LOWER DANDENONG/HOWARD,INT
3147,LOWER DANDENONG/WOODLANDS,INT
1220,LOWER HEIDELBERG BTW CARLSBERG / GLENARD,POS
3329,LOWER PLENTY NR GRANDVIEW,POS
5041,LT MALOP/GHERINGHAP,INT
4645,LWR DANDENONG / THRIFT PARK EXIT,INT
4644,LWR DANDENONG NR IVY,POS
4642,LWR DANDENONG NR MCSWAIN,POS
3149,LWR DANDENONG NR WILLOWGLEN,POS
944,LWR DANDENONG/CTR DANDENONG,INT
4648,LWR DANDENONG/DEHAVILLAND,INT
4649,LWR DANDENONG/SOUTHERN,INT
4646,LWR DANDENONG/WARREN,INT
3313,LWR HEIDELBERG NR BURTON,POS
3312,LWR HEIDELBERG/MARSHALL,INT
3331,LWR PLENTY NR BELLEVUE,POS
3337,LWR PLENTY/CREW/MARTINS,INT
3337,LWR PLENTY/CREW/MARTINS,INT
3335,LWR PLENTY/GRANTHAM,INT
3332,LWR PLENTY/ROSANNA,INT
3336,LWR PLENTY/TURNHAM/RAILWAY CROSSING,INT
3330,LWR PLENTY/UPP.HEIDELBERG/WAIORA/ALTONA,INT
3334,LWR PLENTY/YALLAMBIE,INT
3334,LWR PLENTY/YALLAMBIE,INT
5836,LYDIARD/RAIL CROSSING,INT
4019,LYGON NR ALBERT,POS
4414,LYGON NR LYTTON,POS
3797,LYGON NR PARK,POS
4413,LYGON NR PELHAM,POS
4424,LYGON NR RICHARDSON,POS
3782,LYGON NR STEWART,POS
4021,LYGON NR WESTON,POS
4007,LYGON/ALBION/HOLMES,INT
4017,LYGON/BLYTH,INT
4408,LYGON/ELGIN,INT
4407,LYGON/FARADAY,INT
4020,LYGON/GLENLYON,INT
4423,LYGON/PIGDON,INT
4399,LYGON/QUEENSBERRY,INT
4018,LYGON/VICTORIA,INT
1147,LYSTERFIELD/ WELLINGTON,INT
787,LYSTERFIELD/NAPOLEON/GLENFERN,INT
6278,LYTTLETON NR MITCHELL,FLASH PX
4450,MACARTHUR NR ST ANDREWS PL,POS
4481,MACAULAY NR BELLAIR,POS
1054,MACAULAY NR FOGARTY,POS
4479,MACAULAY NR HAINES,POS
4485,MACAULAY NR LANGFORD,FLASH PX
4480,MACAULAY/EPSOM/KENSINGTON,INT
4484,MACAULAY/STUBBS,INT
3252,MACEDON NR EVANS,POS
1228,MACKENZIE/DP WORLD EXIT,INT
4633,MACKIE NR BEDDOE,POS
2346,MACKIE NR DEAKIN,POS
3866,MADDEN NR STAWELL,POS
3474,MAHER NR THOMAS,FLASH PX
856,MAHONEYS NR CANTERBURY,POS
3994,MAHONEYS NR CHEVIOT,POS
4988,MAHONEYS NR THOMASTOWN FIRE,FIRE W/W
4992,MAHONEYS/EDGARS,INT
4991,MAHONEYS/HUGHES,INT
2770,MAHONEYS/INDUSTRIAL,INT
2168,MAHONEYS/PIPEWORKS MARKET,INT
3484,MAIDSTONE NR GATE 6,POS
5401,MAIN BTW ROBERTSON & VICTORIA,POS
3359,MAIN HURSTBRIDGE RD NR GEORGE ST,FIRE SIG
3352,MAIN HURSTBRIDGE/ELIZABETH,INT
2112,MAIN NR BAYFIELD,POS
2111,MAIN NR DALTON,POS
713,MAIN NR DIAMOND,INT
5804,MAIN NR GISBORNE,FLASH PX
5805,MAIN NR GRAHAM,FLASH PX
3346,MAIN NR GREENSBOROUGH CENTRE,POS
183,MAIN NR KILVINGTON,FLASH PX
2810,MAIN NR LANTANA AVE,POS
3497,MAIN NR MAHONEY,FLASH PX
1194,MAIN NR MONBULK,FLASH PX
922,MAIN NR MT PLEASANT,FLASH PX
3351,MAIN NR PARKER,FLASH PX
716,MAIN NR PROSPERITY,POS
717,MAIN NR PRYOR,POS
926,MAIN NR TERRYS,POS
714,MAIN RD /DUDLEY STREET,INT
4928,MAIN RD EAST/COLLINS,INT
4931,MAIN RD WEST/MCKECHNIE,INT
2729,MAIN ROAD EAST / GRANTHAM PDE,INT
1202,MAIN ROAD EAST NR STRADBROKE DRIVE,POS
2053,MAIN ROAD WEST NR AMY,POS
2058,MAIN ROAD WEST NR PENNELL,POS
4964,MAIN/ALFREIDA,INT
712,MAIN/BOLTON,INT
715,MAIN/BRIDGE,INT
4164,MAIN/COLLINS/HYDE,INT
984,MAIN/FITZSIMONS,RBT MTR
4930,MAIN/KINGS/STATION,INT
5241,MAIN/MURNONG,INT
718,MAIN/PANORAMA/GR BLVD,INT
719,MAIN/PARA,INT
3347,MAIN/PARA/CIRCUIT/HAILES,INT
3347,MAIN/PARA/CIRCUIT/HAILES,INT
4932,MAIN/ST ALBANS/ESPLANADE,INT
711,MAIN/WATTLETREE/PARK WEST,INT
5911,MAIR/ARMSTRONG,INT
5911,MAIR/ARMSTRONG,INT
5807,MAIR/HUMFFRAY,INT
5912,MAIR/LYDIARD,INT
5912,MAIR/LYDIARD,INT
5913,MAIR/PEEL,INT
5125,MALOP NR CLARE,POS
5082,MALOP NR YARRA,POS
5075,MALOP/BELLERINE ST,INT
5078,MALOP/YARRA,INT
4756,MALVERN NR A'BECKETT,POS
4352,MALVERN NR BELMONT,POS
4779,MALVERN NR CHATSWORTH,POS
4354,MALVERN NR ELIZABETH,POS
3840,MALVERN NR MERCER,POS
2984,MALVERN NR WESTBOURNE,POS
4430,MALVERN/BELGRAVE,INT
4754,MALVERN/BENDIGO/SURREY,INT
4351,MALVERN/BURKE,INT
4753,MALVERN/CHAPEL/COMMERCIAL/BRAY,INT
4758,MALVERN/CLENDON,INT
4348,MALVERN/DARLING/DENE,INT
4355,MALVERN/GLENFERRIE,INT
4350,MALVERN/HIGH,INT
4759,MALVERN/KOOYONG,INT
3855,MALVERN/MOIRA,INT
4757,MALVERN/ORRONG,INT
4353,MALVERN/TOORONGA,INT
4349,MALVERN/WATTLETREE,INT
4342,MALVERN/WAVERLEY/BELGRAVE,INT
4755,MALVERN/WILLIAMS,INT
4347,MALVERN/WINTON,INT
151,MANCHESTER/BELLARA,INT
148,MANCHESTER/BRICE,INT
684,MANNINGHAM NR DERRECK,POS
705,MANNINGHAM/AYR,INT
683,MANNINGHAM/BRIDGE,INT
686,MANNINGHAM/BULLEEN,INT
682,MANNINGHAM/GRANT OLSEN,INT
592,MANNINGHAM/MACEDON,INT
680,MANNINGHAM/THOMPSONS,INT
317,MANNINGHAM/WILLIAMSONS,INT
4211,MARIBYRNONG NR LENNOX & BOWEN,POS
4205,MARIBYRNONG/ASCOT VALE,INT
4203,MARIBYRNONG/EPSOM/SCOTIA,INT
4202,MARIBYRNONG/ORFORD/WALTER,INT
4204,MARIBYRNONG/UNION,INT
2410,MARINE NR ELWOOD CANAL,POS
763,MARINE PDE / BARCLAY,INT
3019,MARINE/BARKLY/GLENHUNTLY,INT
3018,MARINE/CAVELL,INT
4838,MARINE/DICKENS/MARINA ENT,INT
4894,MARKET/MORAY,INT
2621,MARKET/SOMERVILLE,INT
157,MAROONDAH HWY/ KIMBERLEY/ FLETCHER,INT
297,MAROONDAH HWY/BRAND SMART,INT
1100,MAROONDAH HWY/EASTLINK,INT
1100,MAROONDAH HWY/EASTLINK,INT
116,MAROONDAH HWY/FIRE STATION,FIRE SIG
1101,MAROONDAH HWY/HILLCREST/CARPARK,INT
1018,MAROONDAH HWY/LANDSCAPE,INT
2212,MAROONDAH HWY/MARKET ST/MURRAY PL,INT
3763,MAROONDAH HWY/MELBA HWY,INT
130,MAROONDAH HWY/MELBOURNE/RAILWAY,INT
111,MAROONDAH HWY/METROPOLITAN AVE,INT
549,MAROONDAH HWY/OLD MELBOURNE/BUNNING,INT
1250,MAROONDAH NR ANDERSON LILYDALE FIRE STAT,FIRE W/W
144,MAROONDAH NR CLARKE,POS
389,MAROONDAH NR COMO,POS
150,MAROONDAH NR GREEN ST,POS
143,MAROONDAH NR LILYDALE STN,POS
2205,MAROONDAH NR MARKET,POS
2201,MAROONDAH NR MARLBOROUGH,POS
123,MAROONDAH NR MONOMEETH,POS
886,MAROONDAH NR RYLAND,POS
2210,MAROONDAH NR WATTS,POS
2210,MAROONDAH NR WATTS,POS
145,MAROONDAH/ANDERSON,INT
140,MAROONDAH/BLACK SPRINGS(CHIRNSIDE SC),INT
114,MAROONDAH/CHAPEL,INT
153,MAROONDAH/CIVIC CENTRE,INT
105,MAROONDAH/COCHRANE/COOK,INT
137,MAROONDAH/CROYDON/WARRIEN,INT
124,MAROONDAH/DEEP CREEK,INT
2207,MAROONDAH/DORKING,INT
138,MAROONDAH/DORSET/BELLARA/EXETER,INT
138,MAROONDAH/DORSET/BELLARA/EXETER,INT
141,MAROONDAH/EDWARDS/MANCHESTER,INT
2203,MAROONDAH/ELGAR,INT
104,MAROONDAH/GREEN,INT
125,MAROONDAH/HEATHERDALE,INT
2202,MAROONDAH/HIGH,INT
134,MAROONDAH/KALINDA/BEAUFORT,INT
134,MAROONDAH/KALINDA/BEAUFORT,INT
107,MAROONDAH/KALLAY/BRENTNALL,INT
136,MAROONDAH/KENT,INT
2209,MAROONDAH/LINSLEY,INT
2208,MAROONDAH/MIDDLEBOROUGH,INT
121,MAROONDAH/MITCHAM,INT
126,MAROONDAH/MT DANDENONG,INT
2204,MAROONDAH/NELSON,INT
102,MAROONDAH/NELSON/GOODALL,INT
127,MAROONDAH/NEW,INT
133,MAROONDAH/OBAN,INT
888,MAROONDAH/OLIVER,INT
119,MAROONDAH/ROOKS,INT
117,MAROONDAH/SPRINGVALE,INT
2206,MAROONDAH/STATION,INT
2206,MAROONDAH/STATION,INT
112,MAROONDAH/STATION,INT
113,MAROONDAH/STATION/WILLIAMS,INT
115,MAROONDAH/SURREY,INT
2200,MAROONDAH/UNION,INT
142,MAROONDAH/VICTORIA,INT
129,MAROONDAH/WANTIRNA/RINGWOOD,INT
147,MAROONDAH/WARBURTON,INT
131,MAROONDAH/WARRANDYTE,INT
295,MAROONDAH/YARRA,INT
1176,MAROONDAHHWY/DON/STLEONARDS,INT
3949,MARTIN NR SPINK,FLASH PX
5128,MARYBOROUGH-DUNOLLY,FLASH PX
1097,MASON NR MIRLS,FLASH PX
6621,MASON STREET NR. BARKLY STREET,POS
4318,MATTHEWS NR EARL,POS
2890,MATTHEWS NR FULLARTON,POS
2884,MATTHEWS NR HART,POS
4319,MATTHEWS NR HAWKER,POS
2866,MATTHEWS NR MASCOMA,INT
2874,MATTHEWS NR VICTORY,POS
2865,MATTHEWS/DROMANA,INT
6222,Mc Ivor Hwy nr  Putnam (Pilcher),POS
6200,Mc IVOR/VIEW/MITCHELL,INT
6831,MC MEEKIN/ALBERT/KOROIT,INT
3894,MCARTHURS/BORRACK,POS
1160,MCCLELLAND DRV/QUARRYRD,INT
986,MCCLELLAND/NORTH,INT
7539,MCCLELLAND/QUARRY,INT
6203,MCCRAE (MIDLAND HWY)/CHAPEL (MCIVOR HWY),INT
648,MCCRAE/FOSTER,INT
2342,MCDONALD NR NEPEAN,POS
2794,MCDONALDS NR CIVIC,POS
2771,MCDONALDS NR DERBY,POS
2978,MCDONALDS RD NR MEADOW GLEN DRV,POS
1304,MCDONALDS ROAD / CIVIC DRIVE,INT
3897,MCDONALDS/FERRES,INT
2710,MCDONALDS/OLEANDER/DANAHER,INT
3896,MCDONALDS/PLENTY VALLEY SC ACCESS 2,INT
3898,MCDONALDS/PLENTY VALLEY SC ACCESS1,INT
2990,MCG ACCESS/BRUNTON,INT
1184,MCGREGOR/HENRY,INT
4963,MCINTYRE NR BARWON,POS
4929,MCINTYRE NR SUNSHINE (FIRE STN),FIRE W/W
4939,MCINTYRE/BERKSHIRE,INT
4934,MCINTYRE/FURLONG,INT
2054,MCINTYRE/MARKET ENT,INT
2644,MCINTYRE/PHOENIX,INT
2634,MCINTYRE/SUFFOLK,INT
2050,MCINTYRE/WHITEHILL,INT
6265,MCIVOR HWY NR VINE,POS
6198,MCIVOR HWY/MYERS,RBT MTR
6223,MCIVOR HWY/STERNBERG,INT
6287,MCIVOR/POWELLS/RESERVOIR,INT
2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX
5198,MCKILLOP/SWANSTON,INT
5196,MCKILLOP/YARRA,INT
2767,MCKIMMIES NR CANBERRA,POS
4993,McKIMMIES NR DAREBIN,POS
3419,MCKINNON NR GLEN ORME,POS
552,MCLEOD NR TENNYSON,FIRE SIG
6196,MCLVOR HWY/ATLAS/LORDS RACEWAY ENTRANCE,INT
3211,MCNAUGHTON NR TORTEVAL,POS
4977,MELBOURNE AIRPORT NR INTERNATIONAL TERM.,FLASH PX
4977,MELBOURNE AIRPORT NR INTERNATIONAL TERM.,FLASH PX
4981,MELBOURNE NR BUNBURY   (FIRE STATION),FIRE W/W
2015,MELBOURNE NR HOBART PLACE (KNOX CITY),POS
1095,MELBOURNE NR HOSKING,POS
1099,MELBOURNE NR MCROBERT,POS
3760,MELBOURNE NR WILKINS,POS
4529,MELBOURNE PARK NTH ACCESS/FED SQ ACCESS,INT
6147,MELBOURNE RD NR CROYLAND      [WODONGA],POS
4966,MELBOURNE RD NR REED,POS
4965,MELBOURNE RD/HUDSONS,INT
1303,MELBOURNE ROAD/THE AVENUE,INT
4976,MELBOURNE/CENTRE,INT
4967,MELBOURNE/MASON,INT
3901,MELBOURNE/VIC TRACK MAINT FACILITY ACCES,INT
2190,MELROSE/APAC,INT
2867,MELROSE/MALVERN/EXIT RAMP/CATERPILLAR,INT
2867,MELROSE/MALVERN/EXIT RAMP/CATERPILLAR,INT
2873,MELROSE/SHARPS/ENT RAMP,INT
2177,MELROSE/TRADE PARK,INT
6146,MELROSE/VISY & UNCLE BENS,INT
2598,MELTON HWY nr ARRAN,POS
2599,MELTON HWY NR SYDENHAM,POS
2597,MELTON HWY/CALDER PARK DRIVE,INT
2595,MELTON HWY/GOURLAY RD,INT
2638,MELTON HWY/KINGS RD,INT
2640,MELTON HWY/MCCUBBIN DR/SHOP CENTRE ENT 1,INT
2640,MELTON HWY/MCCUBBIN DR/SHOP CENTRE ENT 1,INT
2640,MELTON HWY/MCCUBBIN DR/SHOP CENTRE ENT 1,INT
2640,MELTON HWY/MCCUBBIN DR/SHOP CENTRE ENT 1,INT
2645,MELTON HWY/OVERTON LEA BLVD,INT
2637,MELTON HWY/PARMELIA DR,INT
2639,MELTON HWY/SHOPPING CENTRE ENT 2,INT
2701,MELTON HWY/SUNSHINE AVE ROUNDABOUT,POS
2701,MELTON HWY/SUNSHINE AVE ROUNDABOUT,POS
2636,MELTON HWY/VERONA DR,INT
2636,MELTON HWY/VERONA DR,INT
3781,MELVILLE NR APPLEBY,POS
3888,MELVILLE NR WOODLANDS,POS
4005,MELVILLE/ALBION,INT
4015,MELVILLE/DAWSON,INT
4029,MELVILLE/HOPE,INT
4000,MELVILLE/MORELAND,INT
4124,MELVILLE/REYNARD,INT
4008,MELVILLE/VICTORIA,INT
4650,MENTONE NR FLORENCE,FLASH PX
957,MENZIES NR CHIFLEY,FLASH PX
958,MENZIES NR CURTIN,FLASH PX
5036,MERCER / RAILWAY TCE,INT
5119,MERCER NR GINN,POS
5050,MERCER/BROUGHAM,INT
6830,MERRI NR KEPLER,POS
156,MERRINDALE NR CENTREWAY,FLASH PX
3475,MERTON NR CENTRAL,FLASH PX
3478,MERTON/NEWLAND,INT
3744,METROPOLITAN RING ROAD/DALTON,INT
3744,METROPOLITAN RING ROAD/DALTON,INT
4972,MICKLEHAM NR SOMERTON,POS
2872,MICKLEHAM NR TANGEMERE,POS
2857,MICKLEHAM/ALANBRAE/CAMBRIDGE,INT
2854,MICKLEHAM/BARRYMORE,INT
2169,MICKLEHAM/BROADMEADOWS DEV,RBT MTR
