Site_Number,Location_Description,Site_Type
2005,BURWOOD HWY/DEAKIN UNIVERSITY,INT
381,BURWOOD HWY/DOBSON (AMBULANCE DEPOT),FIRE W/W
177,BURWOOD HWY/DORSET,INT
2004,BURWOOD HWY/ELGAR/McINTYRE,INT
176,BURWOOD HWY/FERNTREE GULLY,INT
872,BURWOOD HWY/FIRE STATION,FIRE SIG
2001,BURWOOD HWY/GILMOUR/SOMERS,INT
919,BURWOOD HWY/GLENFERN (TECOMA),INT
166,BURWOOD HWY/HANOVER/HARTLAND,INT
166,BURWOOD HWY/HANOVER/HARTLAND,INT
2012,BURWOOD HWY/HIGH STREET RD/LEWIS,INT
577,BURWOOD HWY/HOLLAND/K-MART ENT,INT
172,BURWOOD HWY/KNOX CITY ENT 2/TYNER,INT
173,BURWOOD HWY/KNOX CITY ENT 3/LYNNE,INT
180,BURWOOD HWY/KNOX CITY ENT 4,INT
178,BURWOOD HWY/KNOX CITY ENT 5/TYNER,INT
161,BURWOOD HWY/LAKESIDE DR,INT
159,BURWOOD HWY/LAKEWOOD DVE,INT
2008,BURWOOD HWY/MIDDLEBOROUGH,INT
168,BURWOOD HWY/MORACK RD,INT
920,BURWOOD HWY/MORRIS/MAST GULLY,INT
169,BURWOOD HWY/MOUNTAIN HWY,INT
868,BURWOOD HWY/MT DANDENONG TOURIST RD,INT
165,BURWOOD HWY/SAFEWAY ENTRANCE/RSPCA ENT,INT
921,BURWOOD HWY/SANDELLS,INT
174,BURWOOD HWY/SCORESBY,INT
164,BURWOOD HWY/SPRINGVALE,INT
538,BURWOOD HWY/STANLEY/FORTESCUE,POS
2006,BURWOOD HWY/STATION,INT
723,BURWOOD HWY/STATION,INT
170,BURWOOD HWY/STUD,INT
2009,BURWOOD HWY/TEMPLETON/RENOU,INT
2000,BURWOOD HWY/WARRIGAL,INT
4289,BURWOOD NR BARTON,POS
4265,BURWOOD NR LAUNDER,POS
4279,BURWOOD NR MORANG,POS
4266,BURWOOD/AUBURN,INT
3668,BURWOOD/BUNNINGS ACCESS,INT
4285,BURWOOD/CAMBERWELL,INT
4262,BURWOOD/CHURCH,INT
764,BURWOOD/GLENFERN (FERNTREE GULLY),INT
4264,BURWOOD/GLENFERRIE,INT
4263,BURWOOD/POWER,INT
4280,BURWOOD/WILLIAM,INT
2059,CAIRNLEA/WOODBURN,INT
2743,CALDER FREEWAY OFF RAMP/MCNAMARA,RBT MTR
6452,CALDER HWY (FIFTEENTH ST) NR ELIZABETH,POS
6257,CALDER HWY / THISTLE STREET - BENDIGO,INT
6258,CALDER HWY NR CAMP,POS
6446,CALDER HWY NR MILDURA PLAZA,POS
5937,CALDER HWY(HIGH ST)/MOLLISON,INT
6256,CALDER HWY/ALDER STREET,INT
6233,CALDER HWY/IRONBARK,INT
6451,CALDER HWY/KARADOC,INT
2730,CALDER HWY/KEILOR PARK DVE,INT
6259,CALDER HWY[HIGH ST]/LAUREL.,INT
6285,CALDER(DON)/BARNARD,INT
5936,CALDER/ASHBOURNE/QUARRY,INT
6254,CALDER/LANSELL PLAZA,INT
6253,CALDER/LOCKWOOD/CAMP,INT
6230,CALDER/LODDON VLY,INT
6255,CALDER/OAK,INT
6450,CALDER/SAN MATEO,INT
6461,CALDER/SANDILONG,INT
6252,CALDER/TAYLOR/WESLEY,INT
6252,CALDER/TAYLOR/WESLEY,INT
3829,CAMBERWELL NR BOWEN,POS
3810,CAMBERWELL NR BUTLER,POS
2839,CAMBERWELL NR EVANS,POS
3813,CAMBERWELL NR GLEN IRIS,POS
3811,CAMBERWELL NR INGLESBY,POS
4281,CAMBERWELL NR MAYSTON,POS
4267,CAMBERWELL/HAROLD,INT
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT
3978,CAMP NR HARTLEY (FIRE STN),FIRE W/W
3984,CAMP NR JOSEPH,POS
3986,CAMP NR SMILEY,POS
3969,CAMP RD/NORTHCORP BLD,INT
3964,CAMP/ MAYGAR / CSL ACCESS,INT
3985,CAMP/BLAIR/WIDFORD,INT
3997,CAMP/MAIN,INT
6310,CAMPBELL ST NR MCCRAE,POS
836,CANADIAN BAY/MT ELIZA WAY,INT
4410,CANNING/ELGIN,INT
2716,CANNING/MILITARY,INT
854,CANTERBURY NR ALLENS,POS
